"Fecha aplicación","Año","Cod_Territorio","Nom_Territorio","Cantidad_dosis_aplicadas","fecha_corte"
"2021-03-07","2021","11","Bogotá","8.246","2023-02-28"
"2021-03-07","2021","13","Bolívar","124","2023-02-28"
"2021-03-07","2021","13001","Cartagena","35","2023-02-28"
"2021-03-07","2021","15","Boyacá","61","2023-02-28"
"2021-03-07","2021","17","Caldas","279","2023-02-28"
"2021-03-07","2021","18","Caquetá","238","2023-02-28"
"2021-03-07","2021","85","Casanare","441","2023-02-28"
"2021-03-07","2021","19","Cauca","1.275","2023-02-28"
"2021-03-07","2021","20","Cesar","172","2023-02-28"
"2021-03-07","2021","27","Chocó","287","2023-02-28"
"2021-03-07","2021","23","Córdoba","697","2023-02-28"
"2021-03-07","2021","25","Cundinamarca","56","2023-02-28"
"2021-03-07","2021","95","Guaviare","96","2023-02-28"
"2021-03-07","2021","41","Huila","315","2023-02-28"
"2021-03-07","2021","44","La Guajira","558","2023-02-28"
"2021-03-07","2021","47","Magdalena","119","2023-02-28"
"2021-03-07","2021","47001","Santa Marta","740","2023-02-28"
"2021-03-07","2021","50","Meta","60","2023-02-28"
"2021-03-07","2021","52","Nariño","508","2023-02-28"
"2021-03-07","2021","54","Norte de Santander","346","2023-02-28"
"2021-03-07","2021","86","Putumayo","243","2023-02-28"
"2021-03-07","2021","63","Quindío","209","2023-02-28"
"2021-03-07","2021","66","Risaralda","711","2023-02-28"
"2021-03-07","2021","68","Santander","1.249","2023-02-28"
"2021-03-07","2021","70","Sucre","268","2023-02-28"
"2021-03-07","2021","73","Tolima","926","2023-02-28"
"2021-03-07","2021","76","Valle del Cauca","1.223","2023-02-28"
"2021-03-07","2021","76109","Buenaventura","99","2023-02-28"
"2021-03-07","2021","97","Vaupés","289","2023-02-28"
"2021-03-08","2021","91","Amazonas","1.299","2023-02-28"
"2021-03-08","2021","05","Antioquia","3.802","2023-02-28"
"2021-03-08","2021","81","Arauca","76","2023-02-28"
"2021-03-08","2021","08","Atlántico","210","2023-02-28"
"2021-03-08","2021","08001","Barranquilla","1.842","2023-02-28"
"2021-03-08","2021","11","Bogotá","5.457","2023-02-28"
"2021-03-08","2021","13","Bolívar","140","2023-02-28"
"2021-03-08","2021","13001","Cartagena","761","2023-02-28"
"2021-03-08","2021","15","Boyacá","471","2023-02-28"
"2021-03-08","2021","17","Caldas","480","2023-02-28"
"2021-03-08","2021","18","Caquetá","208","2023-02-28"
"2021-03-08","2021","85","Casanare","320","2023-02-28"
"2021-03-08","2021","19","Cauca","1.279","2023-02-28"
"2021-03-08","2021","20","Cesar","670","2023-02-28"
"2021-03-08","2021","27","Chocó","27","2023-02-28"
"2021-03-08","2021","23","Córdoba","995","2023-02-28"
"2021-03-08","2021","25","Cundinamarca","6.148","2023-02-28"
"2021-03-08","2021","94","Guainía","155","2023-02-28"
"2021-03-08","2021","95","Guaviare","73","2023-02-28"
"2021-03-08","2021","41","Huila","679","2023-02-28"
"2021-03-08","2021","44","La Guajira","439","2023-02-28"
"2021-03-08","2021","47","Magdalena","61","2023-02-28"
"2021-03-08","2021","47001","Santa Marta","30","2023-02-28"
